id,title,alternative_title,description,tasks,soft_skill,hard_skill,job_zone,majors,typical_industries,in_demand,hazard,physical_activity,decision_making,time_pressure
"682","Subway and Streetcar Operator","","","Operate controls to open and close transit vehicle doors.
Drive and control rail-guided public transportation, such as subways, elevated trains, and electric-powered streetcars, trams, or trolleys, to transport passengers.
Monitor lights indicating obstructions or other trains ahead and watch for car and truck traffic at crossings to stay alert to potential hazards.
Direct emergency evacuation procedures.
Regulate vehicle speed and the time spent at each stop to maintain schedules.
Report delays, mechanical problems, and emergencies to supervisors or dispatchers, using radios.
Make announcements to passengers, such as notifications of upcoming stops or schedule delays.
Complete reports, including shift summaries and incident or accident reports.
Greet passengers, provide information, and answer questions concerning fares, schedules, transfers, and routings.
Attend meetings on driver and passenger safety to learn ways in which job performance might be affected.","","","","","","","","","",""
"683","Supply Chain Managers","","","Confer with supply chain planners to forecast demand or create supply plans that ensure availability of materials or products.
Analyze inventories to determine how to increase inventory turns, reduce waste, or optimize customer service.
Manage activities related to strategic or tactical purchasing, material requirements planning, controlling inventory, warehousing, or receiving.
Select transportation routes to maximize economy by combining shipments or consolidating warehousing and distribution.
Develop procedures for coordination of supply chain management with other functional areas, such as sales, marketing, finance, production, or quality assurance.
Design, implement, or oversee product take back or reverse logistics programs to ensure products are recycled, reused, or responsibly disposed.
Determine appropriate equipment and staffing levels to load, unload, move, or store materials.
Define performance metrics for measurement, comparison, or evaluation of supply chain factors, such as product cost or quality.
Identify new suppliers, vendors and freight forwarders and negotiate prices and terms. ","","","","","","","Moderate","Low","Moderate","High"
"684","Surgical Assistant","","","Maintain an unobstructed operative field, using surgical retractors, sponges, or suctioning and irrigating equipment.
Determine availability of necessary equipment or supplies for operative procedures.
Apply sutures, staples, clips, or other materials to close skin, facia, or subcutaneous wound layers.
Clamp, ligate, or cauterize blood vessels to control bleeding during surgical entry, using hemostatic clamps, suture ligatures, or electrocautery equipment.
Assess skin integrity or other body conditions upon completion of the procedure to determine if damage has occurred from body positioning.
Pass instruments or supplies to surgeon during procedure.
Adjust and maintain operating room temperature, humidity, or lighting, according to surgeon's specifications.
Assist in applying casts, splints, braces, or similar devices.
Assist with patient resuscitation during cardiac arrest or other life-threatening events.
","","","","","","","Moderate","High","Low","Low"
"685","Surgical Technologist","","","Maintain a proper sterile field during surgical procedures.
Count sponges, needles, and instruments before and after operation.
Scrub arms and hands and assist the surgical team to scrub and put on gloves, masks, and surgical clothing.
Provide technical assistance to surgeons, surgical nurses, or anesthesiologists.
Prepare patients for surgery, including positioning patients on the operating table and covering them with sterile surgical drapes to prevent exposure.
Hand instruments and supplies to surgeons and surgeons' assistants, hold retractors and cut sutures, and perform other tasks as directed by surgeon during operation.
Prepare, care for, and dispose of tissue specimens taken for laboratory analysis.
Wash and sterilize equipment, using germicides and sterilizers.
Monitor and continually assess operating room conditions, including patient and surgical team needs.
Operate, assemble, adjust, or monitor sterilizers, lights, suction machines, or diagnostic equipment to ensure proper operation.","","","","","","","","","",""
"686","Survey Researchers","","","Review, classify, and record survey data in preparation for computer analysis.
Monitor and evaluate survey progress and performance, using sample disposition reports and response rate calculations.
Produce documentation of the questionnaire development process, data collection methods, sampling designs, and decisions related to sample statistical weighting.
Prepare and present summaries and analyses of survey data, including tables, graphs, and fact sheets that describe survey techniques and results.
Determine and specify details of survey projects, including sources of information, procedures to be used, and the design of survey instruments and materials.
Consult with clients to identify survey needs and specific requirements, such as special samples.
Conduct surveys and collect data, using methods such as interviews, questionnaires, focus groups, market analysis surveys, public opinion polls, literature reviews, and file reviews.
Support, plan, and coordinate operations for single or multiple surveys.
Conduct research to gather information about survey topics.
Direct and review the work of staff members, including survey support staff and interviewers who gather survey data.","","","","","","","","","",""
"687","Surveying and Mapping Technician","","","Design or develop information databases that include geographic or topographic data to create maps 
Conduct surveys to ascertain the locations of natural features and man-made structures on the Earth's surface, underground, and underwater, using electronic distance-measuring equipment, such as GPS, and other surveying instruments.
Prepare topographic or contour maps of land surveyed, including site features and other relevant information, such as charts, drawings, and survey notes.
Position and hold the vertical rods, or targets, that theodolite operators use for sighting to measure angles, distances, and elevations.
Calculate latitudes, longitudes, angles, areas, or other information for mapmaking, using survey field notes or reference tables.
Determine scales, line sizes, or colors to be used for hard copies of computerized maps, using plotters.
Check all layers of maps to ensure accuracy, identifying and marking errors and making corrections.
Monitor mapping work or the updating of maps to ensure accuracy, inclusion of new or changed information, or compliance with rules and regulations.
Produce or update overlay maps to show information boundaries, water locations, or topographic features on various base maps or at different scales.
Operate and manage land-information computer systems, performing tasks such as storing data, making inquiries, and producing plots and reports.
","","","","","","","","","",""
"688","Surveyor","","","Verify the accuracy of survey data, including measurements and calculations conducted at survey sites.
Direct or conduct surveys to establish legal boundaries for properties, based on legal deeds and titles.
Prepare or supervise preparation of all data, charts, plots, maps, records, and documents related to surveys.
Prepare and maintain sketches, maps, reports, and legal descriptions of surveys to describe, certify, and assume liability for work performed.
Write descriptions of property boundary surveys for use in deeds, leases, or other legal documents.
Search legal records, survey records, and land titles to obtain information about property boundaries in areas to be surveyed.
Coordinate findings with the work of engineering and architectural personnel, clients, and others concerned with projects.
Establish fixed points for use in making maps, using geodetic and engineering instruments.
Calculate heights, depths, relative positions, property lines, and other characteristics of terrain.
Adjust surveying instruments to maintain their accuracy.","","","","","","","","","",""
"689","Sustainability Specialists","","","Develop sustainability project goals, objectives, initiatives, or strategies in collaboration with other sustainability professionals.
Monitor or track sustainability indicators, such as energy usage, natural resource usage, waste generation, and recycling.
Provide technical or administrative support for sustainability programs or issues.
Develop reports or presentations to communicate the effectiveness of sustainability initiatives.
Collect information about waste stream management or green building practices to inform decision makers.
Identify or investigate violations of natural resources, waste management, recycling, or other environmental policies.
Create marketing or outreach media, such as brochures or Web sites, to communicate sustainability issues, procedures, or objectives.
Write grant applications or project proposals to secure funding","","","","","","","Moderate","Low","l","Low"
"690","Switchboard Operator, Including Answering Service","","","Operate communication systems, such as telephone, switchboard, intercom, two-way radio, or public address.
Answer incoming calls, greeting callers, providing information, transferring calls or taking messages as necessary.
Relay or route written or verbal messages.
Page individuals to inform them of telephone calls, using paging or interoffice communication equipment.
Perform various data entry or word processing tasks, such as updating phone directories, typing or proofreading documents, or creating schedules.
Perform administrative tasks, such as accepting orders, scheduling appointments or meeting rooms, or sending and receiving faxes.
Process incoming or outgoing mail, packages, or deliveries.
","","","","","","","Low","Low","High","Low"
"691","Tailors, Dressmaker, and Custom Sewer","","","Sew garments, using needles and thread or sewing machines.
Measure customers, using tape measures, and record measurements.
Confer with customers to determine types of material and garment styles desired.
Assemble garment parts and join parts with basting stitches, using needles and thread or sewing machines.
Make garment style changes, such as tapering pant legs, narrowing lapels, and adding or removing padding.
Repair or replace defective garment parts, such as pockets, zippers, snaps, buttons, and linings.
Estimate how much a garment will cost to make, based on factors such as time and material requirements.","","","","","","","Moderate","Moderate","High","High"
"692","Tank Car, Truck, and Ship Loader","","","Seal outlet valves on tank cars, barges, and trucks.
Verify tank car, barge, or truck load numbers to ensure car placement accuracy based on written or verbal instructions.
Start pumps and adjust valves or cables to regulate the flow of products to vessels, using knowledge of loading procedures.
Check conditions and weights of vessels to ensure cleanliness and compliance with loading procedures.
Observe positions of cars passing loading spouts, and swing spouts into the correct positions at the appropriate times.
Monitor product movement to and from storage tanks, coordinating activities with other workers to ensure constant product flow.
Operate ship loading and unloading equipment, conveyors, hoists, and other specialized material handling equipment such as railroad tank car unloading equipment.
Record operating data such as products and quantities pumped, gauge readings, and operating times, manually or using computers.
Operate industrial trucks, tractors, loaders, and other equipment to transport materials to and from transportation vehicles and loading docks, and to store and retrieve materials in warehouses.
Connect ground cables to carry off static electricity when unloading tanker cars.","","","","","","","","","",""
"693","Taper","","","Spread sealing compound between boards or panels or over cracks, holes, nail heads, or screw heads, using trowels, broadknives, or spatulas.
Press paper tape over joints to embed tape into sealing compound and to seal joints.
Apply additional coats to fill in holes and make surfaces smooth.
Seal joints between plasterboard or other wallboard to prepare wall surfaces for painting or papering.
Spread and smooth cementing material over tape, using trowels or floating machines to blend joints with wall surfaces.
Sand or patch nicks or cracks in plasterboard or wallboard.
Mix sealing compounds by hand or with portable electric mixers.
Work on high ceilings, using scaffolding or other tools, such as stilts.
Select the correct sealing compound or tape.
Countersink nails or screws below surfaces of walls before applying sealing compounds, using hammers or screwdrivers.","","","","","","","","","",""
"694","Tax Examiner*","","","Review filed tax returns to determine whether tax credits and deductions claimed are allowed by law
Contact taxpayers by mail or telephone to address problems and to request supporting documentation
Conduct field audits and investigations of income tax returns to verify information or to update tax liabilities
Evaluate financial information, using their familiarity with accounting procedures and knowledge of changes to tax laws and regulations
Keep records on each case they deal with, including contacts, telephone numbers, and actions taken
Notify taxpayers of any overpayment or underpayment, and either issue a refund or request further payment","","","","","","","Low","Low","High","Moderate"
"695","Tax Preparer","","","researching, analysing and interpreting changing tax legislation in both the UK and overseas
meeting with clients and collating information
working with tax law and revenue provisions
preparing and submitting compliance (tax) returns by the deadline
liaising and negotiating with HM Revenue & Customs (HMRC) on behalf of the client
providing consultancy services to high value private clients
creating tax strategies for clients and planning their financial futures
carrying out detailed computations to calculate tax liability and advising on how to minimise a client's liability
establishing and structuring family trusts
estate planning and advising on tax residence and domicile matters
providing guidance on indirect taxation issues such as VAT, customs planning and environmental taxes
producing reports and presentations for clients.","","","","","","","Low","Low","High","Low"
"696","Teaching Assistants, Postsecondary","","","Develop teaching materials, such as syllabi, visual aids, answer keys, supplementary notes, or course Web sites.
Teach undergraduate-level courses.
Copy and distribute classroom materials.
Evaluate and grade examinations, assignments, or papers, and record grades.
Inform students of the procedures for completing and submitting class work, such as lab reports.
Tutor or mentor students who need additional instruction.
Schedule and maintain regular office hours to meet with students.
Complete laboratory projects prior to assigning them to students so that any needed modifications can be made.
Attend lectures given by the supervising instructor.","","","","","","","","","",""
"697","Team Assembler","","","Perform quality checks on products and parts.
Review work orders and blueprints to ensure work is performed according to specifications.
Rotate through all the tasks required in a particular production process.
Determine work assignments and procedures.
Supervise assemblers and train employees on job procedures.
Shovel, sweep, or otherwise clean work areas.
Provide assistance in the production of wiring assemblies.
Maintain production equipment and machinery.
Complete production reports to communicate team production level to management.
Package finished products and prepare them for shipment.","","","","","","","","","",""
"698","Technical Support Specialist*","","","Answer user inquiries regarding computer software or hardware operation to resolve problems
Read technical manuals, confer with users, or conduct computer diagnostics to investigate and resolve problems or to provide technical assistance and support
Set up equipment for employee use, performing or ensuring proper installation of cables, operating systems, or appropriate software
Develop training materials and procedures, or train users in the proper use of hardware or software
Enter commands and observe system functioning to verify correct operations and detect errors
Maintain records of daily data communication transactions, problems and remedial actions taken, or installation activities
Install and perform minor repairs to hardware, software, or peripheral equipment, following design or installation specifications","","","","","","","Low","Low","Moderate","Low"
"699","Technical Writer","","","Organize material and complete writing assignment according to set standards regarding order, clarity, conciseness, style, and terminology
Edit, standardize, or make changes to material prepared by other writers or establishment personnel.
Interview production and engineering personnel and read journals and other material to become familiar with product technologies and production methods
Select photographs, drawings, sketches, diagrams, and charts to illustrate material.
Study drawings, specifications, mockups, and product samples to integrate and delineate technology, operating procedure, and production sequence and detail.
Review published materials and recommend revisions or changes in scope, format, content, and methods of reproduction and binding","","","","","","","Low","Low","Low","High"
"700","Telecommunications Engineering Specialist","","","Consult with users, administrators, and engineers to identify business and technical requirements for proposed system modifications or technology purchases.
Implement system renovation projects in collaboration with technical staff, engineering consultants, installers, and vendors.
Keep abreast of changes in industry practices and emerging telecommunications technology by reviewing current literature, talking with colleagues, participating in educational programs, attending meetings or workshops, or participating in professional organizations or conferences.
Review and evaluate requests from engineers, managers, and technicians for system modifications.
Assess existing facilities' needs for new or modified telecommunications systems.
Develop, maintain, or implement telecommunications disaster recovery plans to ensure business continuity.
Communicate with telecommunications vendors to obtain pricing and technical specifications for available hardware, software, or services.
Inspect sites to determine physical configuration, such as device locations and conduit pathways.
Document procedures for hardware and software installation and use.
Install, or coordinate installation of, new or modified hardware, software, or programming modules of telecommunications systems.","","","","","","","","","",""
"701","Telecommunications Equipment Installer and Repairer, Except Line Installer","","","Demonstrate equipment to customers and explain how it is to be used, and respond to any inquiries or complaints.
Test circuits and components of malfunctioning telecommunications equipment to isolate sources of malfunctions, using test meters, circuit diagrams, polarity probes, and other hand tools.
Test repaired, newly installed, or updated equipment to ensure that it functions properly and conforms to specifications, using test equipment and observation.
Climb poles and ladders, use truck-mounted booms, and enter areas such as manholes and cable vaults to install, maintain, or inspect equipment.
Assemble and install communication equipment such as data and telephone communication lines, wiring, switching equipment, wiring frames, power apparatus, computer systems, and networks.
Run wires between components and to outside cable systems, connecting them to wires from telephone poles or underground cable accesses.
Test connections to ensure that power supplies are adequate and that communications links function.
Note differences in wire and cable colors so that work can be performed correctly.
Inspect equipment on a regular basis to ensure proper functioning.
Collaborate with other workers to locate and correct malfunctions.","","","","","","","","","",""
"702","Telecommunications Line Installer and Repairer","","","Set up service for customers, installing, connecting, testing, or adjusting equipment.
Travel to customers' premises to install, maintain, or repair audio and visual electronic reception equipment or accessories.
Measure signal strength at utility poles, using electronic test equipment.
Inspect or test lines or cables, recording and analyzing test results, to assess transmission characteristics and locate faults or malfunctions.
Splice cables, using hand tools, epoxy, or mechanical equipment.
Access specific areas to string lines or install terminal boxes, auxiliary equipment, or appliances, using bucket trucks, or by climbing poles or ladders, or entering tunnels, trenches, or crawl spaces.
Clean or maintain tools or test equipment.
String cables between structures and lines from poles, towers, or trenches and pull lines to proper tension.
Pull up cable by hand from large reels mounted on trucks.
Lay underground cable directly in trenches or string it through conduits running through trenches.","","","","","","","","","",""
"703","Telemarketer","","","Contact businesses or private individuals by telephone to solicit sales for goods or services, or to request donations for charitable causes.
Deliver prepared sales talks, reading from scripts that describe and explain products or services and answer questions from customers
Adjust sales scripts to better target the needs and interests of specific individuals.
Record names, addresses, purchases, and reactions of prospects contacted.
Answer telephone calls from potential customers who have been solicited through advertisements.
Schedule appointments for sales representatives to meet with prospective customers
Conduct client or market surveys to obtain information about potential customers.","","","","","","","Low","Low","Low","Low"
"704","Teller","","","Receive checks and cash for deposit, verify amounts, and check accuracy of deposit slips.
Cash checks and pay out money after verifying that signatures are correct, that written and numerical amounts agree, and that accounts have sufficient funds.
Count currency, coins, and checks received, by hand or using currency-counting machine
Enter customers' transactions into computers to record transactions and issue computer-generated receipts.
Resolve problems or discrepancies concerning customers' accounts.
Obtain and process information required for the provision of services, such as opening accounts, savings plans, and purchasing bonds.
Balance currency, coin, and checks in cash drawers at ends of shifts and calculate daily transactions, using computers, calculators, or adding machines.
Quote unit exchange rates, following daily international rate sheets or computer displays.","","","","","","","Low","Moderate","High","Low"
"705","Terrazzo Worker and Finisher","","","Measure designated amounts of ingredients for terrazzo or grout, according to standard formulas and specifications, using graduated containers and scales, and load ingredients into portable mixer.
Grind surfaces with a power grinder, or polish surfaces with polishing or surfacing machines.
Cut metal division strips and press them into the terrazzo base for joints or changes of color to form designs or patterns or to help prevent cracks.
Blend marble chip mixtures, place into panels, and push a roller over the surface to embed the chips.
Modify mixing, grouting, grinding, or cleaning procedures, according to type of installation or material used.
Spread, level, or smooth concrete or terrazzo mixtures to form bases or finished surfaces, using rakes, shovels, hand or power trowels, hand or power screeds, or floats.
Grind curved surfaces or areas inaccessible to surfacing machine, such as stairways or cabinet tops, with portable hand grinder.
Wash polished terrazzo surface, using cleaner and water, and apply sealer and curing agent according to manufacturer's specifications, using brush or sprayer.
Position and secure moisture membrane and wire mesh in preparation for pouring base materials for terrazzo installation.
Fill slight grinding depressions with matching grout material and hand-trowel for a smooth, uniform surface.","","","","","","","","","",""
"706","Test Engineer*","","","Develop testing programs that address areas such as database impacts, software scenarios, regression testing, negative testing, error or bug retests, or usability.
Conduct software compatibility tests with programs, hardware, operating systems, or network environments.
Identify, analyze, and document problems with program function, output, online screen, or content.
Document software defects, using a bug tracking system, and report defects to software developers.
Plan test schedules or strategies in accordance with project scope or delivery dates.
Design or develop automated testing tools.
Update automated test scripts to ensure currency.
Participate in product design reviews to provide input on functional requirements, product designs, schedules, or potential problems.
Provide feedback and recommendations to developers on software usability and functionality.","","","","","","","Low","Low","Low","Moderate"
"707","Textile Bleaching and Dyeing Machine Operator and Tender","","","Add dyes, water, detergents, or chemicals to tanks to dilute or strengthen solutions, according to established formulas and solution test results.
Notify supervisors or mechanics of equipment malfunctions.
Adjust equipment controls to maintain specified heat, tension, and speed.
Observe display screens, control panels, equipment, and cloth entering or exiting processes to determine if equipment is operating correctly.
Prepare dyeing machines for production runs, and conduct test runs of machines to ensure their proper operation.
Monitor factors such as temperatures and dye flow rates to ensure that they are within specified ranges.
Start and control machines and equipment to wash, bleach, dye, or otherwise process and finish fabric, yarn, thread, or other textile goods.
Examine and feel products to identify defects and variations from coloring and other processing standards.
Record production information such as fabric yardage processed, temperature readings, fabric tensions, and machine speeds.
Test solutions used to process textile goods to detect variations from standards.","","","","","","","","","",""
"708","Textile Cutting Machine Setter, Operator, and Tender","","","Inspect products to ensure that the quality standards and specifications are met.
Place patterns on top of layers of fabric and cut fabric following patterns, using electric or manual knives, cutters, or computer numerically controlled cutting devices.
Start machines, monitor operations, and make adjustments as needed.
Adjust machine controls, such as heating mechanisms, tensions, or speeds, to produce specified products.
Record information about work completed and machine settings.
Notify supervisors of mechanical malfunctions.
Inspect machinery to determine whether repairs are needed.
Confer with coworkers to obtain information about orders, processes, or problems.
Repair or replace worn or defective parts or components, using hand tools.
Clean, oil, and lubricate machines, using air hoses, cleaning solutions, rags, oilcans, and grease guns.","","","","","","","","","",""
"709","Textile Knitting and Weaving Machine Setter, Operator, and Tender","","","Remove defects in cloth by cutting and pulling out filling.
Inspect products to ensure that specifications are met and to determine if machines need adjustment.
Observe woven cloth to detect weaving defects.
Thread yarn, thread, and fabric through guides, needles, and rollers of machines for weaving, knitting, or other processing.
Examine looms to determine causes of loom stoppage, such as warp filling, harness breaks, or mechanical defects.
Notify supervisors or repair staff of mechanical malfunctions.
Set up, or set up and operate textile machines that perform textile processing and manufacturing operations such as winding, twisting, knitting, weaving, bonding, or stretching.
Start machines, monitor operations, and make adjustments as needed.
Inspect machinery to determine whether repairs are needed.
Record information about work completed and machine settings.","","","","","","","","","",""
"710","Textile Winding, Twisting, and Drawing Out Machine Setter, Operator, and Tender","","","Notify supervisors or mechanics of equipment malfunctions.
Thread yarn, thread, or fabric through guides, needles, and rollers of machines.
Start machines, monitor operation, and make adjustments as needed.
Inspect machinery to determine whether repairs are needed.
Record production data such as numbers and types of bobbins wound.
Replace depleted supply packages with full packages.
Stop machines when specified amount of products has been produced.
Inspect products to verify that they meet specifications and to determine whether machine adjustment is needed.
Tend machines that twist together two or more strands of yarn or insert additional twists into single strands of yarn to increase strength, smoothness, or uniformity of yarn.
Observe operations to detect defects, malfunctions, or supply shortages.","","","","","","","","","",""
"711","Tile and Stone Setter","","","Cut and shape tile to fit around obstacles and into odd spaces and corners, using hand and power cutting tools.
Lay and set mosaic tiles to create decorative wall, mural, and floor designs.
Align and straighten tile using levels, squares, and straightedges.
Determine and implement the best layout to achieve a desired pattern.
Measure and mark surfaces to be tiled, following blueprints.
Finish and dress the joints and wipe excess grout from between tiles, using damp sponge.
Cut, surface, polish, and install marble and granite or install pre-cast terrazzo, granite or marble units.
Mix, apply, and spread plaster, concrete, mortar, cement, mastic, glue or other adhesives to form a bed for the tiles, using brush, trowel and screed.
Apply mortar to tile back, position the tile, and press or tap with trowel handle to affix tile to base.
Level concrete and allow to dry.","","","","","","","","","",""
"712","Timing Device Assembler and Adjuster","","","Assemble and install components of timepieces to complete mechanisms, using watchmakers' tools and loupes.
Observe operation of timepiece parts and subassemblies to determine accuracy of movement, and to diagnose causes of defects.
Test operation and fit of timepiece parts and subassemblies, using electronic testing equipment, tweezers, watchmakers' tools, and loupes.
Replace specified parts to repair malfunctioning timepieces, using watchmakers' tools, loupes, and holding fixtures.
Disassemble timepieces such as watches, clocks, and chronometers so that repairs can be made.
Clean and lubricate timepiece parts and assemblies, using solvents, buff sticks, and oil.
Examine components of timepieces such as watches, clocks, or chronometers for defects, using loupes or microscopes.
Bend parts, such as hairsprings, pallets, barrel covers, and bridges, to correct deficiencies in truing or endshake, using tweezers.
Change timing weights on balance wheels to correct deficient timing.
Adjust sizes or positioning of timepiece parts to achieve specified fit or function, using calipers, fixtures, and loupes.","","","","","","","","","",""
"713","Tire Builder","","","Build semi-raw rubber treads onto buffed tire casings to prepare tires for vulcanization in recapping or retreading processes.
Trim excess rubber and imperfections during retreading processes.
Fill cuts and holes in tires, using hot rubber.
Place tires into molds for new tread.
Fit inner tubes and final layers of rubber onto tires.
Buff tires according to specifications for width and undertread depth.
Brush or spray solvents onto plies to ensure adhesion, and repeat process as specified, alternating direction of each ply to strengthen tires.
Start rollers that bond tread and plies as drums revolve.
Align treads with guides, start drums to wind treads onto plies, and slice ends.
Roll camelbacks onto casings by hand, and cut camelbacks, using knives.","","","","","","","","","",""
"714","Tire Repairer and Changer","","","Raise vehicles, using hydraulic jacks.
Remount wheels onto vehicles.
Unbolt and remove wheels from vehicles, using lug wrenches or other hand or power tools.
Place wheels on balancing machines to determine counterweights required to balance wheels.
Identify tire size and ply and inflate tires accordingly.
Replace valve stems and remove puncturing objects.
Hammer required counterweights onto rims of wheels.
Reassemble tires onto wheels.
Seal punctures in tubeless tires by inserting adhesive material and expanding rubber plugs into punctures, using hand tools.
Inspect tire casings for defects, such as holes or tears.","","","","","","","","","",""
"715","Tool and Die Maker","","","Verify dimensions, alignments, and clearances of finished parts for conformance to specifications, using measuring instruments such as calipers, gauge blocks, micrometers, or dial indicators.
Study blueprints, sketches, models, or specifications to plan sequences of operations for fabricating tools, dies, or assemblies.
Set up and operate conventional or computer numerically controlled machine tools such as lathes, milling machines, or grinders to cut, bore, grind, or otherwise shape parts to prescribed dimensions and finishes.
Visualize and compute dimensions, sizes, shapes, and tolerances of assemblies, based on specifications.
Inspect finished dies for smoothness, contour conformity, and defects.
Fit and assemble parts to make, repair, or modify dies, jigs, gauges, and tools, using machine tools and hand tools.
Conduct test runs with completed tools or dies to ensure that parts meet specifications, making adjustments as necessary.
Select metals to be used from a range of metals and alloys, based on properties such as hardness or heat tolerance.
File, grind, shim, and adjust different parts to properly fit them together.
Lift, position, and secure machined parts on surface plates or worktables, using hoists, vises, v-blocks, or angle plates.","","","","","","","","","",""
"716","Tool Grinder, Filer, and Sharpener","","","Monitor machine operations to determine whether adjustments are necessary, stopping machines when problems occur.
Inspect, feel, and measure workpieces to ensure that surfaces and dimensions meet specifications.
Study blueprints or layouts of metal workpieces to determine grinding procedures, and to plan machine setups and operational sequences.
Select and mount grinding wheels on machines, according to specifications, using hand tools and applying knowledge of abrasives and grinding procedures.
Compute numbers, widths, and angles of cutting tools, micrometers, scales, and gauges, and adjust tools to produce specified cuts.
Turn valves to direct flow of coolant against cutting wheels and workpieces during grinding.
Set up and operate grinding or polishing machines to grind metal workpieces, such as dies, parts, and tools.
Dress grinding wheels, according to specifications.
File or finish surfaces of workpieces, using prescribed hand tools.
Perform basic maintenance, such as cleaning and lubricating machine parts.","","","","","","","","","",""
"717","Tour Guides and Escorts","","","Research various topics, including site history, environmental conditions, and clients' skills and abilities to plan appropriate expeditions, instruction, and commentary.
Select travel routes and sites to be visited based on knowledge of specific areas.
Escort individuals or groups on cruises, sightseeing tours, or through places of interest, such as historic sites, public buildings, or art galleries.
Greet and register visitors, and issue any required identification badges or safety devices.
Collect fees and tickets from group members.
Drive motor vehicles to transport visitors to establishments and tour site locations.
Describe tour points of interest to group members, and respond to questions.","","","","","","","","","",""
"718","Traffic Technician","","","Study traffic delays by noting times of delays, the numbers of vehicles affected, and vehicle speed through the delay area.
Interact with the public to answer traffic-related questions, respond to complaints or requests, or discuss traffic control ordinances, plans, policies, or procedures.
Prepare graphs, charts, diagrams, or other aids to illustrate observations or conclusions.
Analyze data related to traffic flow, accident rates, or proposed development to determine the most efficient methods to expedite traffic flow.
Prepare work orders for repair, maintenance, or changes in traffic systems.
Plan, design, and improve components of traffic control systems to accommodate current or projected traffic and to increase usability and efficiency.
Compute time settings for traffic signals or speed restrictions, using standard formulas.
Prepare drawings of proposed signal installations or other control devices, using drafting instruments or computer-automated drafting equipment.
Study factors affecting traffic conditions, such as lighting or sign and marking visibility, to assess their effectiveness.
Gather and compile data from hand count sheets, machine count tapes, or radar speed checks and code data for computer input.","","","","","","","","","",""
"719","Training and Development Managers","","","Confer with management and conduct surveys to identify training needs based on projected production processes, changes, and other factors.
Prepare training budget for department or organization.
Develop new training programs or modify and improve existing programs.
Develop and organize training manuals, multimedia visual aids, and other educational materials.
Develop testing and evaluation procedures.
Conduct orientation sessions and arrange on-the-job training for new hires.
Train instructors and supervisors in techniques and skills for training and dealing with employees.
Evaluate instructor performance and the effectiveness of training programs, providing recommendations for improvement.","","","","","","","Low","Low","Moderate","Moderate"
"720","Training and Development Specialists","","","Assess training needs through surveys, interviews with employees, focus groups, or consultation with managers, instructors, or customer representatives.
Obtain, organize, or develop training procedure manuals, guides, or course materials, such as handouts or visual materials.
Evaluate modes of training delivery, such as in-person or virtual, to optimize training effectiveness, training costs, or environmental impacts.
Select and assign instructors to conduct training.
Design, plan, organize, or direct orientation and training programs for employees or customers.
Present information with a variety of instructional techniques or formats, such as role playing, simulations, team exercises, group discussions, videos, or lectures.
Monitor, evaluate, or record training activities or program effectiveness.
Negotiate contracts with clients for desired training outcomes, fees, or expenses.
Monitor training costs and prepare budget reports to justify expenditures.","","","","","","","","","",""
"721","Transit and Railroad Police","","","Prepare reports documenting investigation activities and results.
Monitor transit areas and conduct security checks to protect railroad properties, patrons, and employees.
Apprehend or remove trespassers or thieves from railroad property or coordinate with law enforcement agencies in apprehensions and removals.
Direct security activities at derailments, fires, floods, or strikes involving railroad property.
Patrol railroad yards, cars, stations, or other facilities to protect company property or shipments and to maintain order.
Investigate or direct investigations of freight theft, suspicious damage or loss of passengers' valuables, or other crimes on railroad property.
Examine credentials of unauthorized persons attempting to enter secured areas.
Enforce traffic laws regarding the transit system and reprimand individuals who violate them.
Provide training to the public or law enforcement personnel in railroad safety or security.
Plan or implement special safety or preventive programs, such as fire or accident prevention.","","","","","","","","","",""
"722","Transportation Engineer","","","Check construction plans, design calculations, or cost estimations to ensure completeness, accuracy, or conformity to engineering standards or practices.
Design or prepare plans for new transportation systems or parts of systems, such as airports, commuter trains, highways, streets, bridges, drainage structures, or roadway lighting.
Confer with contractors, utility companies, or government agencies to discuss plans, specifications, or work schedules.
Design or engineer drainage, erosion, or sedimentation control systems for transportation projects.
Prepare project budgets, schedules, or specifications for labor or materials.
Plan alteration or modification of existing transportation structures to improve safety or function.
Investigate traffic problems and recommend methods to improve traffic flow or safety.
Prepare final project layout drawings that include details such as stress calculations.
Estimate transportation project costs.
Present data, maps, or other information at construction-related public hearings or meetings.","","","","","","","","","",""
"723","Transportation Inspector","","","Prepare and submit reports after completion of freight shipments.
Inspect shipments to ensure that freight is securely braced and blocked.
Record details about freight conditions, handling of freight, and any problems encountered.
Advise crews in techniques of stowing dangerous and heavy cargo.
Observe loading of freight to ensure that crews comply with procedures.
Recommend remedial procedures to correct any violations found during inspections.
Inspect loaded cargo, cargo lashed to decks or in storage facilities, and cargo handling devices to determine compliance with health and safety regulations and need for maintenance.
Notify workers of any special treatment required for shipments.
Direct crews to reload freight or to insert additional bracing or packing as necessary.
Check temperatures and humidities of shipping and storage areas to ensure that they are at appropriate levels to protect cargo.","","","","","","","","","",""
